image_name,c1,c2,c3,c4,c5,c_total,MOS,SD,MOS_zscore
3822808828.jpg,0,0,18,89,4,111,3.8738738738738703,0.428891109662562,75.8046218487395
8158072489.jpg,0,2,31,61,12,106,3.78301886792453,0.661955501038323,75.9612068965517
5176681750.jpg,0,3,48,54,2,107,3.5140186915887797,0.588642281437874,67.1386554621849
10164842933.jpg,0,1,24,81,7,113,3.83185840707965,0.532893966725502,76.69375
3009167692.jpg,0,2,28,64,5,99,3.7272727272727297,0.585856808760517,79.1785714285714
6867407079.jpg,1,29,72,5,0,107,2.75700934579439,0.546707494751528,48.290178571428605
9253116202.jpg,0,0,38,67,3,108,3.67592592592593,0.526471302014582,74.4716981132076
7636475996.jpg,20,72,9,0,0,101,1.8910891089108899,0.527275831022244,23.176605504587197
5846078806.jpg,0,1,14,82,7,104,3.9134615384615397,0.484929720122209,77.3125
8352587213.jpg,0,8,64,34,1,107,3.26168224299065,0.6040187520225849,63.8040540540541
5680571645.jpg,11,66,26,0,0,103,2.14563106796116,0.584233484589436,31.027027027027
8000756995.jpg,4,40,52,6,0,102,2.58823529411765,0.66530631933266,40.887614678899105
518080817.jpg,0,9,64,30,0,103,3.2038834951456296,0.583418312593989,61.722972972973004
6476717611.jpg,1,28,70,7,0,106,2.78301886792453,0.5691215784603341,48.953125
8481724236.jpg,5,51,50,5,0,111,2.4954954954954998,0.658840218922945,42.0384615384615
5272496469.jpg,15,51,37,5,0,108,2.2962962962963,0.7643855177848672,34.9491150442478
3704662776.jpg,5,72,24,1,0,102,2.20588235294118,0.532846555181383,31.426605504587197
8353646596.jpg,0,1,56,46,1,104,3.45192307692308,0.537520515613129,67.2334905660377
8067632249.jpg,1,31,56,12,0,100,2.79,0.6558978733019489,47.850917431192705
9905676544.jpg,1,21,65,16,0,103,2.93203883495146,0.630314828312635,53.6428571428571
6962529393.jpg,0,6,73,24,0,103,3.1747572815534,0.513106350364809,59.928571428571395
7047135125.jpg,1,16,61,27,1,106,3.1037735849056602,0.6890883595705249,55.254237288135606
5547599151.jpg,1,50,49,5,0,105,2.55238095238095,0.6041674561065961,41.627358490566
3533949779.jpg,0,5,61,36,1,103,3.3203883495145603,0.580965933883841,63.64159292035401
8352296647.jpg,59,47,1,0,0,107,1.4579439252336397,0.519077080686367,11.8844537815126
4647732482.jpg,0,2,54,41,4,101,3.4653465346534698,0.609333347776791,66.8513513513514
10911095273.jpg,0,1,39,62,5,107,3.6635514018691597,0.581863065548848,71.3805309734513
299211567.jpg,7,71,23,1,0,102,2.17647058823529,0.552434122337155,30.55
3159188052.jpg,0,57,54,2,0,113,2.5132743362831897,0.536440721125756,40.7247899159664
5794758875.jpg,1,17,62,17,1,98,3.0,0.658019521535379,49.5508849557522
4889658118.jpg,0,2,40,53,1,96,3.5520833333333304,0.559507145275228,71.71428571428571
6938775083.jpg,0,29,68,5,0,102,2.76470588235294,0.5298322280364279,50.061946902654896
5598111719.jpg,0,9,62,25,1,97,3.1855670103092795,0.600865641304563,58.592857142857106
5572898913.jpg,26,68,12,0,0,106,1.86792452830189,0.586766306984033,22.361607142857103
2306462251.jpg,6,64,35,3,0,108,2.32407407407407,0.623956380330556,35.0405405405405
4080731983.jpg,0,3,58,45,1,107,3.4112149532710294,0.565573194436278,66.18243243243239
4246970583.jpg,9,76,21,1,0,107,2.13084112149533,0.5508845742459361,28.8716216216216
443805629.jpg,0,6,67,25,0,98,3.1938775510204103,0.530670909055369,59.77212389380529
7751327300.jpg,0,0,25,75,2,102,3.7745098039215694,0.46473377335949195,73.5282608695652
2906945782.jpg,0,4,56,50,0,110,3.4181818181818198,0.564741041277403,62.39375
5886086971.jpg,0,38,58,6,0,102,2.6862745098039196,0.5798666995481,44.9471153846154
6368218585.jpg,0,1,38,61,5,105,3.6666666666666696,0.582875278034323,72.4521739130435
8850126806.jpg,1,30,71,6,0,108,2.7592592592592595,0.561546102839651,48.4189189189189
3147925879.jpg,0,4,82,47,0,133,3.32330827067669,0.530135376942176,64.6684782608696
6983896045.jpg,0,9,64,31,2,106,3.2452830188679203,0.6296079014860411,60.1130434782609
4094774604.jpg,3,48,43,4,0,98,2.48979591836735,0.6299222331184879,37.212389380531
5643888483.jpg,1,22,57,26,0,106,3.0188679245282994,0.7034761589417661,53.324324324324294
3254444597.jpg,6,66,30,1,0,103,2.25242718446602,0.572549280385056,33.6826923076923
10029841663.jpg,0,4,65,64,1,134,3.46268656716418,0.5706705779519449,70.125
5204945276.jpg,0,2,39,67,3,111,3.6396396396396398,0.568775283838287,70.3559322033898
7710868262.jpg,0,13,69,20,0,102,3.06862745098039,0.567429568562114,53.394736842105296
5746784745.jpg,1,39,82,3,0,125,2.696,0.527073478381244,46.375
7859713146.jpg,0,0,16,82,11,109,3.9541284403669703,0.49787178739476295,77.5572033898305
3908866899.jpg,2,59,39,2,0,102,2.40196078431373,0.567429568562114,38.27777777777779
8515006370.jpg,0,21,68,22,1,112,3.02678571428571,0.650153432044687,52.8181818181818
503291895.jpg,0,7,61,44,0,112,3.33035714285714,0.591050261687119,64.3910256410256
8201535489.jpg,0,1,32,58,7,98,3.72448979591837,0.605483741937365,70.6504424778761
5908187685.jpg,0,36,97,7,0,140,2.7928571428571405,0.51588338110299,48.265625
8131856300.jpg,0,1,50,50,2,103,3.5145631067961203,0.557727842651489,69.304054054054
11033459414.jpg,0,7,50,43,3,103,3.4077669902912597,0.663279038134847,63.5565217391304
5494859211.jpg,5,80,15,1,0,101,2.1188118811881202,0.47512374625714704,29.6415094339623
3117619556.jpg,3,34,88,8,0,133,2.7593984962406,0.5922527094204829,48.4525547445255
9005619499.jpg,0,4,38,58,7,107,3.6355140186915897,0.664355601592746,70.1890756302521
5870845920.jpg,0,1,49,58,0,108,3.52777777777778,0.519855000152735,72.4742990654206
3142311257.jpg,0,10,62,33,0,105,3.2190476190476205,0.6041674561065961,59.5981308411215
2703329173.jpg,0,3,52,52,0,107,3.4579439252336495,0.554235387493874,67.07366071428571
8672886430.jpg,0,2,30,88,7,127,3.7874015748031495,0.5581989356345389,79.47244094488191
5195745450.jpg,1,18,55,19,5,98,3.09183673469388,0.787619860868547,56.4036697247706
8436817796.jpg,0,1,37,61,1,100,3.62,0.527620922996651,71.9197247706422
6979944704.jpg,0,0,31,75,2,108,3.73148148148148,0.485422669308056,76.71495327102801
6346260646.jpg,0,10,76,19,1,106,3.1037735849056602,0.550830460184462,57.3987068965517
4682349014.jpg,0,33,55,17,0,105,2.8476190476190495,0.676258831606662,48.9934782608696
1646704912.jpg,0,5,76,20,0,101,3.14851485148515,0.477203072367758,59.7617924528302
261641635.jpg,0,2,16,74,14,106,3.94339622641509,0.598890858635405,78.6689189189189
5842712003.jpg,0,1,41,65,2,109,3.6238532110091697,0.5407298022064471,70.358407079646
4290975910.jpg,2,36,54,11,0,103,2.71844660194175,0.6776180271717571,48.7430555555556
8748661037.jpg,0,12,75,19,0,106,3.06603773584906,0.539291738778581,55.8296460176991
5378902324.jpg,0,2,51,77,1,131,3.58778625954198,0.5388053595706479,73.125
8880877335.jpg,0,0,38,60,5,103,3.6796116504854397,0.5638382509162261,72.025
5362095529.jpg,0,2,25,69,6,102,3.7745098039215694,0.5786098523954379,75.39864864864859
7730088582.jpg,5,67,45,4,0,121,2.39669421487603,0.625557602503228,36.81875
8627391076.jpg,0,0,42,60,2,104,3.61538461538462,0.527085636410755,72.799504950495
1992159390.jpg,0,0,46,57,2,105,3.5809523809523798,0.533150151691889,72.4756637168142
3638870308.jpg,0,9,78,16,0,103,3.06796116504854,0.490340736317866,56.12850467289721
10947519133.jpg,0,1,34,70,0,105,3.6571428571428597,0.49669235619576096,74.60922330097091
8625160006.jpg,3,41,48,7,1,100,2.62,0.707535200966044,43.106132075471706
4905609957.jpg,1,29,71,4,0,105,2.74285714285714,0.5375974228091029,47.1710526315789
5936466945.jpg,0,19,78,13,0,110,2.9454545454545498,0.5390505352620519,52.135135135135094
8144270233.jpg,0,2,46,57,0,105,3.52380952380952,0.538788493096354,69.6756756756757
4434357623.jpg,1,1,35,67,7,111,3.7027027027027,0.640945247904071,71.5444915254237
4805041131.jpg,0,11,63,27,0,101,3.1584158415841603,0.595527887967083,57.3876146788991
6739930655.jpg,0,9,76,16,1,102,3.08823529411765,0.528456395467316,59.4439252336449
8726378587.jpg,0,0,24,66,7,97,3.82474226804124,0.5402605327978061,75.765625
9545794561.jpg,0,0,47,71,4,122,3.6475409836065604,0.544273435587874,73.1363636363636
8751989930.jpg,14,88,7,0,0,109,1.93577981651376,0.43621327942236104,25.260593220338997
5064418031.jpg,2,48,49,0,0,99,2.4747474747474705,0.5410389541114461,37.285398230088504
500876950.jpg,0,3,37,53,11,104,3.69230769230769,0.6978040879666529,73.24130434782609
5329734345.jpg,1,8,63,33,0,105,3.2190476190476205,0.619878281801423,61.574324324324294
4851762296.jpg,1,12,66,19,0,98,3.0510204081632697,0.598493796393481,51.5951327433628
2555644998.jpg,0,6,46,49,0,101,3.4257425742574306,0.6057480442141819,66.55
218457399.jpg,4,48,38,12,2,104,2.6153846153846203,0.8161916335479291,43.075
5519011400.jpg,0,20,75,18,0,113,2.98230088495575,0.582211008707259,54.14375
6632573597.jpg,0,18,69,14,2,103,3.0,0.6262242910851489,53.125
2070418201.jpg,1,34,89,1,0,125,2.72,0.4852668039004339,46.8109756097561
4171644754.jpg,0,2,65,39,1,107,3.3644859813084103,0.538910910208028,64.0328947368421
81292981.jpg,42,56,7,0,0,105,1.6666666666666698,0.599144689515278,17.6375
11297570034.jpg,0,17,64,23,0,104,3.05769230769231,0.620474655090888,56.5260869565217
6517362491.jpg,0,5,64,35,0,104,3.2884615384615397,0.5516625696377789,61.9504310344828
3147028593.jpg,0,33,63,5,0,101,2.72277227722772,0.549887477238537,46.157894736842096
4141916319.jpg,0,0,41,60,5,106,3.6603773584905697,0.567144769505739,72.3804347826087
5952914370.jpg,0,0,8,71,21,100,4.13,0.5252224156094121,86.35
3068655528.jpg,0,11,74,23,1,109,3.12844036697248,0.578966471094584,58.2434210526316
3332423009.jpg,0,18,77,7,0,102,2.8921568627451,0.48557127211046097,50.282894736842096
4851467262.jpg,0,4,50,42,4,100,3.46,0.642281287696639,66.243119266055
69161613.jpg,0,3,32,65,4,104,3.67307692307692,0.598417130425389,71.74375
5766806996.jpg,21,80,10,0,0,111,1.9009009009008997,0.52144824470725,23.61875
9527733918.jpg,0,4,47,56,1,108,3.5,0.588042849223902,67.81756756756761
